metric,structural_length,status,coarse,medium,fine,refinement_ratio,coarse_medium_difference,medium_fine_difference,observed_order,convergence_ratio,extrapolated_limit,estimated_fine_error,estimated_relative_fine_error
intensity_index,,asymptotic,0.6855506230347126,0.7066425210659232,0.7120956232594822,2.0,-0.021091898031210587,-0.00545310219355899,1.9515398295679884,0.25854013638269063,0.7139970691151666,0.0019014458556844138,0.002663100365441015
temporal_deformation_index,,asymptotic,0.169699130365267,0.17048293678823537,0.17071243416846218,2.0,-0.0007838064229683805,-0.00022949738022681743,1.772019710287431,0.2927985450255433,0.17080745164692596,9.50174784637714e-05,0.0005562841524044331
component:heterogeneity,0.0,asymptotic,0.5055028610957073,0.506295316141401,0.5064675939376002,2.0,-0.0007924550456936963,-0.00017227779619921613,2.201592322860001,0.21739756360363413,0.506515450641611,4.785670401075137e-05,9.448221954558453e-05
component:localization,0.0,asymptotic,0.7765075261772865,0.7783313148950237,0.7787440756418732,2.0,-0.0018237887177372514,-0.00041276074684948316,2.1435609223731915,0.22632048484299735,0.7788648184178173,0.00012074277594409377,0.00015502404664954585
component:roughness,0.0,resolved,0.0,0.0,0.0,2.0,0.0,0.0,inf,0.0,0.0,0.0,0.0
component:sign_mixing,0.0,asymptotic,0.9531454217336096,0.953620929882921,0.9537643363414405,2.0,-0.00047550814931140994,-0.00014340645851951273,1.7293600669820821,0.3015857009541932,0.9538262613870375,6.192504559698886e-05,6.492277273529724e-05
component:temporal_deformation,0.0,asymptotic,0.1447245707645135,0.14530214000170136,0.14547030282296672,2.0,-0.0005775692371878527,-0.00016816282126536075,1.7801351239594148,0.2911561254268573,0.14553937534688458,6.90725239178569e-05,0.00047459681445812576
structure_index,0.0,asymptotic,0.47597607595422337,0.47670994018420937,0.47688926174877616,2.0,-0.0007338642299860032,-0.00017932156456679227,2.0329641871261215,0.24435250723449545,0.47694724867300026,5.7986924224096015e-05,0.00012157932430773371
coupled_index,0.0,asymptotic,1.0116319482590619,1.043272372629766,1.051449700668135,2.0,-0.03164042437070402,-0.008177328038369014,1.9520675285920106,0.25844558665086775,1.0542996524775619,0.0028499518094269316,0.0027031705860185566
raw_roughness_index,0.0,resolved,0.0,0.0,0.0,2.0,0.0,0.0,inf,0.0,0.0,0.0,0.0
component:heterogeneity,0.25,asymptotic,0.5055028610957073,0.506295316141401,0.5064675939376002,2.0,-0.0007924550456936963,-0.00017227779619921613,2.201592322860001,0.21739756360363413,0.506515450641611,4.785670401075137e-05,9.448221954558453e-05
component:localization,0.25,asymptotic,0.7765075261772865,0.7783313148950237,0.7787440756418732,2.0,-0.0018237887177372514,-0.00041276074684948316,2.1435609223731915,0.22632048484299735,0.7788648184178173,0.00012074277594409377,0.00015502404664954585
component:roughness,0.25,asymptotic,0.3777031608707913,0.3826054780716369,0.3838953196933971,2.0,-0.004902317200845607,-0.0012898416217601572,1.926269906171627,0.26310856048598213,0.3843558602210222,0.00046054052762511954,0.0011982138827291138
component:sign_mixing,0.25,asymptotic,0.9531454217336096,0.953620929882921,0.9537643363414405,2.0,-0.00047550814931140994,-0.00014340645851951273,1.7293600669820821,0.3015857009541932,0.9538262613870375,6.192504559698886e-05,6.492277273529724e-05
component:temporal_deformation,0.25,asymptotic,0.1447245707645135,0.14530214000170136,0.14547030282296672,2.0,-0.0005775692371878527,-0.00016816282126536075,1.7801351239594148,0.2911561254268573,0.14553937534688458,6.90725239178569e-05,0.00047459681445812576
structure_index,0.25,asymptotic,0.5515167081283816,0.5532310357985368,0.5536683256874555,2.0,-0.0017143276701552246,-0.00043728988891866827,1.9709809914111818,0.25507952565396885,0.5538180647552889,0.00014973906783344315,0.00027037591830740863
coupled_index,0.25,asymptotic,1.0634787707541775,1.097408054000465,1.1061872689474737,2.0,-0.03392928324628741,-0.008779214947008729,1.95036711125152,0.2587503804098002,1.1092518576463437,0.003064588698870052,0.00276275282096225
raw_roughness_index,0.25,asymptotic,0.6071455644388921,0.6199095107832033,0.6233025996867767,2.0,-0.012763946344311217,-0.0033930889035733713,1.9114033128567505,0.2658338426097852,0.6245312014855302,0.0012286017987535036,0.0019672384595535203
component:heterogeneity,0.5,asymptotic,0.5055028610957073,0.506295316141401,0.5064675939376002,2.0,-0.0007924550456936963,-0.00017227779619921613,2.201592322860001,0.21739756360363413,0.506515450641611,4.785670401075137e-05,9.448221954558453e-05
component:localization,0.5,asymptotic,0.7765075261772865,0.7783313148950237,0.7787440756418732,2.0,-0.0018237887177372514,-0.00041276074684948316,2.1435609223731915,0.22632048484299735,0.7788648184178173,0.00012074277594409377,0.00015502404664954585
component:roughness,0.5,asymptotic,0.5482724434010957,0.5534201904312498,0.5547683640677902,2.0,-0.005147747030154082,-0.001348173636540384,1.9329348397807748,0.26189586019731637,0.5552467262326894,0.00047836216489927086,0.0008615308155798144
component:sign_mixing,0.5,asymptotic,0.9531454217336096,0.953620929882921,0.9537643363414405,2.0,-0.00047550814931140994,-0.00014340645851951273,1.7293600669820821,0.3015857009541932,0.9538262613870375,6.192504559698886e-05,6.492277273529724e-05
component:temporal_deformation,0.5,asymptotic,0.1447245707645135,0.14530214000170136,0.14547030282296672,2.0,-0.0005775692371878527,-0.00016816282126536075,1.7801351239594148,0.2911561254268573,0.14553937534688458,6.90725239178569e-05,0.00047459681445812576
structure_index,0.5,asymptotic,0.5856305646344425,0.5873939782704595,0.5878429345623342,2.0,-0.0017634136360169528,-0.00044895629187469144,1.97372401746363,0.2545949984195173,0.5879962767403152,0.00015334217798101957,0.0002607876683014137
coupled_index,0.5,asymptotic,1.0868688397046964,1.121552013775754,1.130525749215871,2.0,-0.03468317407105759,-0.008973735440116926,1.9504553776907911,0.2587345501231194,1.1336579812690553,0.0031322320531843584,0.002762942708415488
raw_roughness_index,0.5,asymptotic,1.2142911288777842,1.2398190215664067,1.2466051993735534,2.0,-0.025527892688622433,-0.006786177807146743,1.9114033128567505,0.2658338426097852,1.2490624029710604,0.0024572035975070072,0.0019672384595535203
component:heterogeneity,1.0,asymptotic,0.5055028610957073,0.506295316141401,0.5064675939376002,2.0,-0.0007924550456936963,-0.00017227779619921613,2.201592322860001,0.21739756360363413,0.506515450641611,4.785670401075137e-05,9.448221954558453e-05
component:localization,1.0,asymptotic,0.7765075261772865,0.7783313148950237,0.7787440756418732,2.0,-0.0018237887177372514,-0.00041276074684948316,2.1435609223731915,0.22632048484299735,0.7788648184178173,0.00012074277594409377,0.00015502404664954585
component:roughness,1.0,asymptotic,0.70820947958612,0.7124908859443269,0.7136073410615509,2.0,-0.004281406358206841,-0.0011164551172240245,1.9391595172344696,0.260768313917211,0.7140011771537583,0.00039383609220744464,0.0005515902561637276
component:sign_mixing,1.0,asymptotic,0.9531454217336096,0.953620929882921,0.9537643363414405,2.0,-0.00047550814931140994,-0.00014340645851951273,1.7293600669820821,0.3015857009541932,0.9538262613870375,6.192504559698886e-05,6.492277273529724e-05
component:temporal_deformation,1.0,asymptotic,0.1447245707645135,0.14530214000170136,0.14547030282296672,2.0,-0.0005775692371878527,-0.00016816282126536075,1.7801351239594148,0.2911561254268573,0.14553937534688458,6.90725239178569e-05,0.00047459681445812576
structure_index,1.0,asymptotic,0.6176179718714474,0.6192081173730748,0.6196107299610862,2.0,-0.0015901455016273935,-0.00040261258801144173,1.9816945960365229,0.25319229441544705,0.6197472288270686,0.0001364988659823263,0.00022024925587914862
coupled_index,1.0,asymptotic,1.1087874194809824,1.1440220681359023,1.1531360508496626,2.0,-0.03523464865491999,-0.009113982713760294,1.950841288839042,0.25866534963979737,1.1563160877252092,0.003180036875546577,0.002750144972731964
raw_roughness_index,1.0,asymptotic,2.4285822577555685,2.4796380431328133,2.493210398747107,2.0,-0.05105578537724487,-0.013572355614293485,1.9114033128567505,0.2658338426097852,2.498124805942121,0.0049144071950140145,0.0019672384595535203
component:heterogeneity,2.0,asymptotic,0.5055028610957073,0.506295316141401,0.5064675939376002,2.0,-0.0007924550456936963,-0.00017227779619921613,2.201592322860001,0.21739756360363413,0.506515450641611,4.785670401075137e-05,9.448221954558453e-05
component:localization,2.0,asymptotic,0.7765075261772865,0.7783313148950237,0.7787440756418732,2.0,-0.0018237887177372514,-0.00041276074684948316,2.1435609223731915,0.22632048484299735,0.7788648184178173,0.00012074277594409377,0.00015502404664954585
component:roughness,2.0,asymptotic,0.829168783756041,0.8320964888689122,0.8328574622553079,2.0,-0.002927705112871215,-0.0007609733863956913,1.9438523442283644,0.25992145966142094,0.8331247221508117,0.0002672598955038019,0.00032079217960768026
component:sign_mixing,2.0,asymptotic,0.9531454217336096,0.953620929882921,0.9537643363414405,2.0,-0.00047550814931140994,-0.00014340645851951273,1.7293600669820821,0.3015857009541932,0.9538262613870375,6.192504559698886e-05,6.492277273529724e-05
component:temporal_deformation,2.0,asymptotic,0.1447245707645135,0.14530214000170136,0.14547030282296672,2.0,-0.0005775692371878527,-0.00016816282126536075,1.7801351239594148,0.2911561254268573,0.14553937534688458,6.90725239178569e-05,0.00047459681445812576
structure_index,2.0,asymptotic,0.6418098327054316,0.6431292379579918,0.6434607541998377,2.0,-0.0013194052525602462,-0.00033151624184590833,1.9927362948384264,0.2512618781853536,0.6435720045704924,0.00011125037065462529,0.00017286390623667922
coupled_index,2.0,asymptotic,1.1253555925425203,1.1609084726352152,1.1701020348522024,2.0,-0.03555288009269497,-0.009193562216987194,1.9512705614044683,0.258588395455371,1.1733085512968298,0.0032065164446273275,0.0027328842367024785
raw_roughness_index,2.0,asymptotic,4.857164515511137,4.959276086265627,4.986420797494214,2.0,-0.10211157075448973,-0.02714471122858697,1.9114033128567505,0.2658338426097852,4.996249611884242,0.009828814390028029,0.0019672384595535203
